kew_id,taxon_name,sporophytic_chromosome_number,infraspecific_variation_chrom_number,other_reported_sporophytic_chromosome_number,source_of_other_chrom_num
66169-2,Cornus sericea L.,NA,NA,22,"Zonneveld, 2019"
271681-1,Cornus suecica L.,NA,NA,NA,NA
487280-1,Coronilla valentina L.,NA,NA,NA,NA
772234-1,Correa backhouseana Hook.,NA,NA,NA,NA
326909-2,Corrigiola litoralis L.,16| 18,v,"16, 18","Zonneveld, 2019"
396664-1,Cortaderia richardii (Endl.) Zotov,NA,NA,90,C-ValueDB
66317-2,Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,NA,NA,"16, 32","Zonneveld, 2019"
672129-1,Corydalis cava (L.) Schweigg. & Körte,NA,NA,16,Šmarda et al. 2019
672135-1,Corydalis cheilanthifolia Hemsl.,NA,NA,NA,NA
60454743-2,Corydalis solida (L.) Clairv.,24,n,"16, 24, 32","Šmarda et al. 2019, Zonneveld, 2019"
295446-1,Corylus avellana L.,22,p,"22, 28","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
295453-1,Corylus colurna L.,NA,NA,NA,NA
295467-1,Corylus maxima Mill.,NA,NA,"22,28","Zonneveld, 2019"
396681-1,Corynephorus canescens (L.) P.Beauv.,14,n,14,"C-ValueDB, Šmarda et al. 2019"
198320-1,Cosmos bipinnatus Cav.,NA,NA,24,"C-ValueDB, Zonneveld, 2019"
198376-1,Cota austriaca (Jacq.) Sch.Bip.,NA,NA,18,Šmarda et al. 2019
198407-1,Cota tinctoria (L.) J.Gay,NA,NA,18,Šmarda et al. 2019
69498-1,Cotinus coggygria Scop.,NA,NA,30,"C-ValueDB, Šmarda et al. 2019"
722395-1,Cotoneaster adpressus Bois,NA,NA,NA,NA
722400-1,Cotoneaster affinis Lindl.,NA,NA,NA,NA
722406-1,Cotoneaster ambiguus Rehder & E.H.Wilson,NA,NA,NA,NA
722407-1,Cotoneaster amoenus E.H.Wilson,NA,NA,NA,NA
722413-1,Cotoneaster apiculatus Rehder & E.H.Wilson,NA,NA,NA,NA
722420-1,Cotoneaster ascendens Flinck & B. Hylmö ,NA,NA,NA,NA
983355-1,Cotoneaster astrophoros J.Fryer & E.C.Nelson,NA,NA,NA,NA
958628-1,Cotoneaster atropurpureus Flinck & B. Hylmö ,NA,NA,NA,NA
60452146-2,Cotoneaster atrovirens J. Fryer & B. Hylmö ,NA,NA,NA,NA
722423-1,Cotoneaster bacillaris Wall. ex Lindl.,NA,NA,NA,NA
895932-1,Cotoneaster boisianus G.Klotz,NA,NA,NA,NA
983356-1,Cotoneaster bradyi J.Fryer & E.C.Nelson,NA,NA,NA,NA
20002796-1,Cotoneaster brickellii J. Fryer & B. Hylmö ,NA,NA,NA,NA
722433-1,Cotoneaster bullatus Bois,NA,NA,68,"Zonneveld, 2019"
722439-1,Cotoneaster calocarpus (Rehder & E.H. Wilson) Flinck & B. Hylmö ,NA,NA,NA,NA
976417-1,Cotoneaster cambricus J. Fryer & B. Hylmö ,68,n,NA,NA
722441-1,Cotoneaster cashmiriensis G.Klotz,NA,NA,NA,NA
722448-1,Cotoneaster cochleatus (Franch.) G.Klotz,NA,NA,NA,NA
722452-1,Cotoneaster congestus Baker,NA,NA,NA,NA
722454-1,Cotoneaster conspicuus C.Marquand,NA,NA,NA,NA
722455-1,Cotoneaster cooperi C.Marquand,NA,NA,NA,NA
722466-1,Cotoneaster dammeri C.K.Schneid.,NA,NA,34,"Zonneveld, 2019"
722471-1,Cotoneaster dielsianus E.Pritz. ex Diels,NA,NA,68,"Zonneveld, 2019"
722476-1,Cotoneaster divaricatus Rehder & E.H.Wilson,NA,NA,NA,NA
722486-1,Cotoneaster fangianus T.T.Yu,NA,NA,NA,NA
722494-1,Cotoneaster franchetii Bois,NA,NA,68,"Zonneveld, 2019"
722495-1,Cotoneaster frigidus Wall. ex Lindl.,NA,NA,NA,NA
60452171-2,Cotoneaster fruticosus J. Fryer & B. Hylmö ,NA,NA,NA,NA
722502-1,Cotoneaster glabratus Rehder & E.H.Wilson,NA,NA,NA,NA
722503-1,Cotoneaster glaucophyllus Franch.,NA,NA,NA,NA
60452173-2,Cotoneaster hedegaardii J. Fryer & B. Hylmö ,NA,NA,NA,NA
722515-1,Cotoneaster henryanus (C.K.Schneid.) Rehder & E.H.Wilson,NA,NA,NA,NA
722518-1,Cotoneaster hissaricus Pojark.,NA,NA,NA,NA
958629-1,Cotoneaster hjelmqvistii Flinck & B. Hylmö ,NA,NA,NA,NA
722519-1,Cotoneaster hodjingensis G.Klotz,NA,NA,NA,NA
722522-1,Cotoneaster horizontalis Decne.,NA,NA,68,"Zonneveld, 2019"
997016-1,Cotoneaster hsingshangensis J. Fryer & B. Hylmö ,NA,NA,NA,NA
997017-1,Cotoneaster hummelii J. Fryer & B. Hylmö ,NA,NA,NA,NA
895939-1,Cotoneaster hurusawanus G.Klotz,NA,NA,NA,NA
972266-1,Cotoneaster hylmoei Flinck & J.Fryer,NA,NA,NA,NA
722529-1,Cotoneaster ignotus G.Klotz,NA,NA,NA,NA
997020-1,Cotoneaster induratus J. Fryer & B. Hylmö ,NA,NA,NA,NA
722533-1,Cotoneaster insculptus Diels,NA,NA,NA,NA
722537-1,Cotoneaster integrifolius (Roxb.) G.Klotz,NA,NA,NA,NA
722554-1,Cotoneaster lacteus W.W.Sm.,NA,NA,NA,NA
907872-1,Cotoneaster laetevirens (Rehder & E.H.Wilson) G.Klotz,NA,NA,NA,NA
722562-1,Cotoneaster lidjiangensis G.Klotz,NA,NA,NA,NA
722565-1,Cotoneaster lucidus Schltdl.,NA,NA,NA,NA
722568-1,Cotoneaster mairei H. Lév.,NA,NA,NA,NA
982711-1,Cotoneaster marginatus (Loudon) Schltdl.,NA,NA,NA,NA
722578-1,Cotoneaster microphyllus Wall. ex Lindl.,NA,NA,NA,NA
722584-1,Cotoneaster monopyrenus (W.W. Sm.) Flinck & B. Hylmö ,NA,NA,NA,NA
722588-1,Cotoneaster moupinensis Franch.,NA,NA,NA,NA
722589-1,Cotoneaster mucronatus Franch.,NA,NA,NA,NA
77125649-1,Cotoneaster nanshan M.Vilm. ex Mottet,NA,NA,NA,NA
722603-1,Cotoneaster nitens Rehder & E.H.Wilson,NA,NA,NA,NA
60452191-2,Cotoneaster nohelii J. Fryer & B. Hylmö ,NA,NA,NA,NA
722612-1,Cotoneaster obscurus Rehder & E.H.Wilson,NA,NA,NA,NA
722613-1,Cotoneaster obtusus Wall. ex Lindl.,NA,NA,NA,NA
722623-1,Cotoneaster pannosus Franch.,NA,NA,NA,NA
722630-1,Cotoneaster perpusillus (C.K. Schneid.) Flinck & B. Hylmö ,NA,NA,NA,NA
722642-1,Cotoneaster procumbens G.Klotz,NA,NA,NA,NA
722643-1,Cotoneaster prostratus Baker,NA,NA,NA,NA
997018-1,Cotoneaster pseudoambiguus J. Fryer & B. Hylmö ,NA,NA,NA,NA
60452194-2,Cotoneaster pseudoobscurus J. Fryer & B. Hylmö ,NA,NA,NA,NA
60448575-2,Cotoneaster qungbixiensis J. Fryer & B. Hylmö ,NA,NA,NA,NA
722650-1,Cotoneaster radicans (C.K.Schneid.) G.Klotz,NA,NA,NA,NA
722653-1,Cotoneaster rehderi Pojark.,NA,NA,NA,NA
722663-1,Cotoneaster rotundifolius Wall. ex Lindl.,NA,NA,NA,NA
722667-1,Cotoneaster salicifolius Franch.,NA,NA,34,"Zonneveld, 2019"
722676-1,Cotoneaster serotinus Hutch.,NA,NA,NA,NA
1003320-1,Cotoneaster shannanensis J.Fryer & B.Hylmo,NA,NA,NA,NA
722677-1,Cotoneaster sherriffii G.Klotz,NA,NA,NA,NA
722682-1,Cotoneaster simonsii Baker,NA,NA,NA,NA
722690-1,Cotoneaster splendens Flinck & B. Hylmö ,NA,NA,NA,NA
722692-1,Cotoneaster sternianus (Turrill) Boom,NA,NA,NA,NA
997019-1,Cotoneaster tengyuehensis J. Fryer & B. Hylmö ,NA,NA,NA,NA
722708-1,Cotoneaster thymifolius Wall. ex Lindl.,NA,NA,NA,NA
722712-1,Cotoneaster tomentellus Pojark.,NA,NA,NA,NA
722716-1,Cotoneaster transens G.Klotz,NA,NA,NA,NA
722718-1,Cotoneaster turbinatus Craib,NA,NA,NA,NA
722722-1,Cotoneaster uva-ursi (Lindl.) G.Don,NA,NA,NA,NA
722726-1,Cotoneaster vestitus (W.W. Sm.) Flinck & B. Hylmö ,NA,NA,NA,NA
722728-1,Cotoneaster villosulus (Rehder & E.H.Wilson) Flinck & B.Hylmö ,NA,NA,NA,NA
895954-1,Cotoneaster vilmorinianus G.Klotz,NA,NA,NA,NA
722733-1,Cotoneaster wardii W.W.Sm.,NA,NA,NA,NA
722739-1,Cotoneaster zabelii C.K.Schneid.,NA,NA,NA,NA
198419-1,Cotula alpina (Hook.f.) Hook.f.,NA,NA,NA,NA
198427-1,Cotula australis (Sieber ex Spreng.) Hook.f.,NA,NA,NA,NA
198443-1,Cotula coronopifolia L.,NA,NA,"20, 40","C-ValueDB, Zonneveld, 2019"
198456-1,Cotula dioica (Hook.f.) Hook.f.,NA,NA,NA,NA
198581-1,Cotula squalida (Hook.f.) Hook.f.,NA,NA,NA,NA
281627-1,Crambe cordifolia Steven,NA,NA,NA,NA
281645-1,Crambe hispanica L.,NA,NA,NA,NA
281657-1,Crambe maritima L.,60,n,"30, 60","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
1167317-2,Crassula aquatica (L.) Schönland,NA,NA,NA,NA
273090-1,Crassula decumbens Thunb.,NA,NA,NA,NA
105941-3,Crassula helmsii (Kirk) Cockayne,NA,NA,36,"Zonneveld, 2019"
273409-1,Crassula pubescens Thunb.,NA,NA,NA,NA
273549-1,Crassula tillaea Lest.-Garl.,NA,NA,NA,NA
327922-2,Crataegus coccinea L.,NA,NA,NA,NA
68042-2,Crataegus coccinioides Ashe,NA,NA,NA,NA
68112-2,Crataegus crus-galli L.,NA,NA,"34, 51, 68","C-ValueDB, Zonneveld, 2019"
723515-1,Crataegus heterophylla Flüggé,NA,NA,NA,NA
723644-1,Crataegus laevigata (Poir.) DC.,34,n,34,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
723820-1,Crataegus monogyna Jacq.,34,n,34,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
723901-1,Crataegus orientalis Pall. ex M.Bieb.,NA,NA,NA,NA
68764-2,Crataegus persimilis Sarg.,NA,NA,NA,NA
724131-1,Crataegus rhipidophylla Gand.,NA,NA,"51, 68","C-ValueDB, Šmarda et al. 2019"
69044-2,Crataegus submollis Sarg.,NA,NA,NA,NA
69052-2,Crataegus succulenta Schrad.,NA,NA,NA,NA
199715-1,Crepis biennis L.,31| 36| 39| 40,v,40,"C-ValueDB, Šmarda et al. 2019"
199753-1,Crepis capillaris (L.) Wallr.,6,n,6,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
199861-1,Crepis foetida L.,NA,NA,"8, 10","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
200063-1,Crepis mollis (Jacq.) Asch.,12,n,12,Šmarda et al. 2019
200099-1,Crepis nicaeensis Balb.,NA,NA,NA,NA
200127-1,Crepis paludosa (L.) Moench,12,n,12,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
200166-1,Crepis praemorsa (L.) Walther,NA,NA,8,Šmarda et al. 2019
200258-1,Crepis setosa Haller f.,8,n,8,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
200321-1,Crepis tectorum L.,NA,NA,8,"C-ValueDB, Šmarda et al. 2019"
200365-1,Crepis vesicaria L.,8,n,8,C-ValueDB
840827-1,Crithmum maritimum L.,20,n,20,C-ValueDB
436433-1,Crocosmia masoniorum (L. Bolus) N.E. Br.,NA,NA,NA,NA
436435-1,Crocosmia paniculata (Klatt) Goldblatt,NA,NA,NA,NA
436437-1,Crocosmia pottsii (Macnab ex Baker) N.E.Br.,NA,NA,NA,NA
436451-1,Crocus ancyrensis (Herb.) Maw,NA,NA,NA,NA
436480-1,Crocus biflorus Mill.,NA,NA,18,C-ValueDB
436503-1,Crocus chrysanthus (Herb.) Herb.,NA,NA,20,"Zonneveld, 2019"
436580-1,Crocus kotschyanus K.Koch,NA,NA,NA,NA
436592-1,Crocus longiflorus Raf.,NA,NA,NA,NA
60461970-2,Crocus neapolitanus (Ker Gawl.) Loisel.,NA,NA,NA,NA
436634-1,Crocus nudiflorus Sm.,NA,NA,NA,NA
436670-1,Crocus pulchellus Herb.,12,n,NA,NA
436703-1,Crocus sieberi J.Gay,NA,NA,NA,NA
60461537-2,Crocus speciosus M.Bieb.,12| 18,v,NA,NA
436740-1,Crocus tommasinianus Herb.,16,n,16,"Zonneveld, 2019"
60461938-2,Crocus vernus (L.) Hill,NA,NA,NA,NA
747959-1,Cruciata laevipes Opiz,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
17070940-1,Cryptogramma crispa (L.) R.Br. ex Hook.,120,n,120,"C-ValueDB, Šmarda et al. 2019"
261870-1,Cryptomeria japonica (L. f.) D.Don,NA,NA,22,"Zonneveld, 2019"
292238-1,Cucumis melo L.,NA,NA,24,"Zonneveld, 2019"
292296-1,Cucumis sativus L.,14,n,"14, 24","C-ValueDB, Zonneveld, 2019"
30006538-2,Cucurbita maxima Duchesne ex. Lam.,NA,NA,40,"Zonneveld, 2019"
292416-1,Cucurbita pepo L.,NA,NA,"40, 44","C-ValueDB, Zonneveld, 2019"
840882-1,Cuminum cyminum L.,NA,NA,14,"Zonneveld, 2019"
261941-1,Cupressus lawsoniana A.Murray bis,NA,NA,NA,NA
30188753-2,Cupressus macrocarpa Hartw. ex Gordon,NA,NA,NA,NA
261952-1,Cupressus nootkatensis D.Don,NA,NA,NA,NA
261967-1,Cupressus pisifera Siebold & Zucc.,NA,NA,NA,NA
72786-2,Cuscuta campestris Yunck.,NA,NA,56,Šmarda et al. 2019
267419-1,Cuscuta epithymum (L.) L.,14,n,14,"Šmarda et al. 2019, Zonneveld, 2019"
267425-1,Cuscuta europaea L.,NA,NA,14,C-ValueDB
17072400-1,Cyathea dealbata (G.Forst.) Sw.,NA,NA,NA,NA
700707-1,Cyclamen coum Mill.,NA,NA,NA,NA
700725-1,Cyclamen graecum Link,NA,NA,NA,NA
700730-1,Cyclamen hederifolium Aiton,NA,NA,NA,NA
700775-1,Cyclamen repandum Sibth. & Sm.,NA,NA,NA,NA
724549-1,Cydonia oblonga Mill.,NA,NA,34,C-ValueDB
801823-1,Cymbalaria hepaticifolia (Poir.) Wettst.,NA,NA,NA,NA
325773-2,"Cymbalaria muralis G.Gaertn., B.Mey. & Schreb.",NA,NA,14,"Šmarda et al. 2019, Zonneveld, 2019"
801828-1,Cymbalaria pallida (Ten.) Wettst.,NA,NA,NA,NA
200876-1,Cynara cardunculus L.,NA,NA,NA,NA
397065-1,Cynodon dactylon (L.) Pers.,36,n,36,"Šmarda et al. 2019, Zonneveld, 2019"
115031-1,Cynoglossum amabile Stapf & J.R.Drumm.,NA,NA,24,"Zonneveld, 2019"
115128-1,Cynoglossum germanicum Jacq.,NA,NA,NA,NA
115233-1,Cynoglossum officinale L.,NA,NA,24,"Šmarda et al. 2019, Zonneveld, 2019"
912324-1,Cynoglottis barrelieri (All.) Vural & Kit Tan,NA,NA,NA,NA
397168-1,Cynosurus cristatus L.,14,n,14,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
329499-2,Cynosurus echinatus L.,NA,NA,NA,NA
304426-1,Cyperus eragrostis Lam.,NA,NA,42,"Zonneveld, 2019"
330929-2,Cyperus fuscus L.,36,n,"36, 72","Šmarda et al. 2019, Zonneveld, 2019"
330932-2,Cyperus longus L.,NA,NA,NA,NA
320700-2,Cypripedium calceolus L.,NA,NA,20,Šmarda et al. 2019
17268360-1,Cyrtomium falcatum (L.f.) C.Presl,123,n,NA,NA
17075980-1,Cyrtomium fortunei J.Sm.,NA,NA,NA,NA
17076270-1,Cystopteris alpina (Lam.) Desv.,NA,NA,NA,NA
75667-2,Cystopteris diaphana (Bory) Blasdell,NA,NA,NA,NA
17387150-1,Cystopteris dickieana R.Sim,168,n,168,C-ValueDB
30013429-2,Cystopteris fragilis (L.) Bernh.,168| 252,v,168,Šmarda et al. 2019
17076650-1,Cystopteris montana (Lam.) Desv.,NA,NA,NA,NA
489845-1,Cytisus multiflorus (L'Hér.) Sweet,NA,NA,NA,NA
489855-1,Cytisus nigricans L.,NA,NA,48,Šmarda et al. 2019
489963-1,Cytisus scoparius (L.) Link,24| 46| 48,v,"24, 46, 48","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
489986-1,Cytisus striatus (Hill) Rothm.,NA,NA,NA,NA
327713-1,Daboecia cantabrica (Huds.) K.Koch,24,n,NA,NA
397309-1,Dactylis glomerata L.,28,p,"14, 28, 42","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
397362-1,Dactylis polygama Horv.,NA,NA,14,"C-ValueDB, Šmarda et al. 2019"
397416-1,Dactyloctenium radulans (R.Br.) P.Beauv.,NA,NA,NA,NA
626606-1,Dactylorhiza fuchsii (Druce) Soó,40| 41,v,40,"C-ValueDB, Šmarda et al. 2019"
626620-1,Dactylorhiza incarnata (L.) Soó,40,n,40,Šmarda et al. 2019
626630-1,Dactylorhiza kerryensis (Wilmott) P.F.Hunt & Summerh.,80,n,NA,NA
626641-1,Dactylorhiza maculata (L.) Soó,79| 80,v,"40, 80",C-ValueDB
626656-1,Dactylorhiza praetermissa (Druce) Soó,80,n,NA,NA
626660-1,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,80| 82,v,NA,NA
77070481-1,Dactylorhiza traunsteinerioides (Pugsley) R.M.Bateman & Denholm,80,n,NA,NA
58296-1,Damasonium alisma Mill.,NA,NA,NA,NA
397531-1,Danthonia decumbens (L.) DC.,36| 124,v,36,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
831270-1,Daphne laureola L.,18,n,18,"C-ValueDB, Zonneveld, 2019"
831294-1,Daphne mezereum L.,18,n,"18, 27","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
76774-2,Darmera peltata (Torr. ex Benth.) Voss ex Post & Kuntze,NA,NA,NA,NA
724590-1,Dasiphora fruticosa (L.) Rydb.,28,n,NA,NA
815555-1,Datura ferox L.,NA,NA,NA,NA
314738-2,Datura stramonium L.,NA,NA,24,"Šmarda et al. 2019, Zonneveld, 2019"
841063-1,Daucus carota L.,18,n,18,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
17078300-1,Davallia canariensis (L.) Sm.,NA,NA,NA,NA
201136-1,Delairea odorata Lem.,NA,NA,NA,NA
397953-1,Deschampsia cespitosa (L.) P.Beauv.,26| 39| 49| 52| 56,vs,"26, 39, 52","Šmarda et al. 2019, Zonneveld, 2019"
78248-2,Descurainia sophia (L.) Webb & Berthel.,NA,NA,"28, 56","Šmarda et al. 2019, Zonneveld, 2019"
790898-1,Deutzia scabra Thunb.,NA,NA,"26, 130","Zonneveld, 2019"
310755-2,Dianthus armeria L.,30,n,30,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
306674-2,Dianthus barbatus L.,NA,NA,30,"Zonneveld, 2019"
153205-1,Dianthus caryophyllus L.,NA,NA,NA,NA
302054-2,Dianthus deltoides L.,30,n,30,"Šmarda et al. 2019, Zonneveld, 2019"
153370-1,Dianthus gallicus Pers.,60,n,NA,NA
153408-1,Dianthus gratianopolitanus Vill.,90,n,90,Šmarda et al. 2019
153717-1,Dianthus plumarius L.,90,n,NA,NA
316120-1,Diapensia lapponica L.,NA,NA,NA,NA
1003783-2,Dicentra eximia (Ker Gawl.) Torr.,NA,NA,16,"Zonneveld, 2019"
30038428-2,Dicentra formosa (Haw.) Walp.,NA,NA,NA,NA
17082540-1,Dicksonia antarctica Labill.,NA,NA,NA,NA
802039-1,Digitalis lutea L.,NA,NA,16-112,"Zonneveld, 2019"
802077-1,Digitalis purpurea L.,56,n,56,"Šmarda et al. 2019, Zonneveld, 2019"
1038558-2,Digitaria ciliaris (Retz.) Koeler,NA,NA,NA,NA
398891-1,Digitaria ischaemum (Schreb. ex Schweigg.) Muhl.,NA,NA,"36, 45","Šmarda et al. 2019, Zonneveld, 2019"
399115-1,Digitaria sanguinalis (L.) Scop.,NA,NA,"36, 54","C-ValueDB, Šmarda et al. 2019"
81292-2,Diphasiastrum alpinum (L.) Holub,c.48,n,46,"C-ValueDB, Šmarda et al. 2019"
81299-2,Diphasiastrum tristachyum (Pursh) Holub,NA,NA,46,C-ValueDB
1185374-2,Diplotaxis erucoides (L.) DC.,NA,NA,14,C-ValueDB
96869-3,Diplotaxis muralis (L.) DC.,42,n,42,"Zonneveld, 2019"
1028648-2,Diplotaxis tenuifolia (L.) DC.,22,n,22,"Šmarda et al. 2019, Zonneveld, 2019"
319260-1,Dipsacus fullonum L.,18,n,"16, 18","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
319272-1,Dipsacus laciniatus L.,NA,NA,"16, 18","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
319286-1,Dipsacus pilosus L.,NA,NA,18,"C-ValueDB, Zonneveld, 2019"
319292-1,Dipsacus sativus (L.) Honck.,NA,NA,18,C-ValueDB
319300-1,Dipsacus strigosus Willd.,NA,NA,18,"Zonneveld, 2019"
361626-1,Disphyma crassifolium (L.) L.Bolus,36,n,NA,NA
201892-1,Dittrichia graveolens (L.) Greuter,NA,NA,18,"Zonneveld, 2019"
201893-1,Dittrichia viscosa (L.) Greuter,NA,NA,NA,NA
329151-2,Doronicum columnae Ten.,NA,NA,60,Šmarda et al. 2019
329170-2,Doronicum pardalianches L.,NA,NA,60,"Zonneveld, 2019"
329172-2,Doronicum plantagineum L.,NA,NA,120,"Zonneveld, 2019"
282317-1,Draba aizoides L.,16,n,NA,NA
282687-1,Draba incana L.,32,n,NA,NA
282873-1,Draba norvegica Gunnerus,c.48,n,NA,NA
283210-1,Drabella muralis (L.) Fourr.,NA,NA,NA,NA
86985-1,Dracunculus vulgaris Schott,NA,NA,32,C-ValueDB
361680-1,Drosanthemum floribundum (Haw.) Schwantes,36,n,NA,NA
321780-1,Drosera anglica Huds.,40,n,40,"Šmarda et al. 2019, Zonneveld, 2019"
84157-2,Drosera intermedia Hayne,20,n,20,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
319182-2,Drosera rotundifolia L.,20,n,20,"C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
724675-1,Dryas octopetala L.,18,n,18,C-ValueDB
913944-1,Drymochloa sylvatica (Pollich) Holub,14,n,NA,NA
17092290-1,Dryopteris aemula (Aiton) Kuntze,82,n,NA,NA
17556900-1,Dryopteris affinis (Lowe) Fraser-Jenk.,82| 123,v,NA,NA
17390210-1,Dryopteris carthusiana (Vill.) H.P.Fuchs,164,n,164,"C-ValueDB, Šmarda et al. 2019"
17093920-1,Dryopteris cristata (L.) A.Gray,164,n,164,"C-ValueDB, Šmarda et al. 2019"
30117034-2,Dryopteris dilatata (Hoffm.) A.Gray,82| 164,v,164,"C-ValueDB, Šmarda et al. 2019"
84669-2,Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy,82,p,NA,NA
30345915-2,Dryopteris filix-mas (L.) Schott,164,n,164,"C-ValueDB, Šmarda et al. 2019"
17249360-1,Dryopteris oreades Fomin,82,n,NA,NA
77186401-1,Dryopteris remota (A. Braun ex Döll) Druce,123| c.164,v,NA,NA
17554520-1,Dryopteris submontana (Fraser-Jenk. & Jermy) Fraser-Jenk.,164,n,NA,NA
1198060-2,Dysphania ambrosioides (L.) Mosyakin & Clemants,NA,NA,NA,NA
1076147-2,Dysphania botrys (L.) Mosyakin & Clemants,NA,NA,18,Šmarda et al. 2019
292573-1,Ecballium elaterium (L.) A.Rich,NA,NA,18,Šmarda et al. 2019
312673-2,Eccremocarpus scaber Ruiz & Pav.,NA,NA,NA,NA
399655-1,Echinochloa colona (L.) Link,NA,NA,NA,NA
399660-1,Echinochloa crus-galli (L.) P.Beauv.,NA,NA,"54, 36-72","Šmarda et al. 2019, Zonneveld, 2019"
963973-1,Echinochloa esculenta (A. Braun) H.Scholz,NA,NA,NA,NA
30158481-2,Echinochloa frumentacea Link,NA,NA,"36, 48, 54","Zonneveld, 2019"
88086-2,Echinochloa microstachya (Wiegand) Rydb.,NA,NA,NA,NA
202414-1,Echinops bannaticus Rochel ex Schrad.,NA,NA,30,C-ValueDB
202484-1,Echinops exaltatus Schrad.,NA,NA,30,"C-ValueDB, Zonneveld, 2019"
202677-1,Echinops sphaerocephalus L.,NA,NA,"30, 32","Šmarda et al. 2019, Zonneveld, 2019"
115832-1,Echium pininana Webb & Berthel.,NA,NA,NA,NA
115835-1,Echium plantagineum L.,NA,NA,16,"Zonneveld, 2019"
115871-1,Echium rosulatum Lange,NA,NA,NA,NA
115950-1,Echium vulgare L.,32,n,32,"Šmarda et al. 2019, Zonneveld, 2019"
431700-1,Egeria densa Planch.,NA,NA,"46, 48","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
315523-2,Elaeagnus commutata Bernh.,NA,NA,28,"Zonneveld, 2019"
323750-1,Elaeagnus macrophylla Thunb.,NA,NA,NA,NA
927283-1,Elaeagnus pungens Thunb.,NA,NA,NA,NA
927281-1,Elaeagnus umbellata Thunb.,NA,NA,NA,NA
324687-1,Elatine hexandra (Lapierre) DC.,NA,NA,72,"Šmarda et al. 2019, Zonneveld, 2019"
324690-1,Elatine hydropiper L.,NA,NA,"36, 40","Šmarda et al. 2019, Zonneveld, 2019"
1169169-2,Eleocharis acicularis (L.) Roem. & Schult.,NA,NA,"20, 56","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
306931-1,Eleocharis mamillata (Lindb.f.) Lindb.f.,NA,NA,16,"C-ValueDB, Šmarda et al. 2019"
306968-1,Eleocharis multicaulis (Sm.) Desv.,20,n,20,"Zonneveld, 2019"
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,16| 37-41,v,"16, 37, 38","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
30239137-2,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",NA,NA,NA,NA
307064-1,Eleocharis quinqueflora (Hartmann) O.Schwarz,20,n,136,"C-ValueDB, Šmarda et al. 2019"
307177-1,Eleocharis uniglumis (Link) Schult.,38-50| 68| 88-92,v,"46, 40-90","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
307233-1,Eleogiton fluitans (L.) Link,60,n,60,"Zonneveld, 2019"
74675-3,Eleusine indica (L.) Gaertn.,NA,NA,20,C-ValueDB
431705-1,Elodea callitrichoides (Rich.) Casp.,c.32,n,NA,NA
90075-2,Elodea canadensis Michx.,c.24,n,"24, 48","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
90089-2,Elodea nuttallii (Planch.) H.St.John,c.48,n,NA,NA
912429-1,Elymus athericus (Link) Kerguélen,35| 42,v,42,"Zonneveld, 2019"
400197-1,Elymus caninus (L.) L.,28,n,28,"C-ValueDB, Šmarda et al. 2019"
77095209-1,Elymus junceiformis (Á. & D. Löve) Hand & Buttler,28,n,NA,NA
90320-2,Elymus repens (L.) Gould,42,n,42,"Šmarda et al. 2019, Zonneveld, 2019"
30371508-2,Empetrum nigrum L.,26,n,"26, 50, 52","C-ValueDB, Šmarda et al. 2019, Zonneveld, 2019"
611599-1,Epilobium alsinifolium Vill.,36,n,36,Šmarda et al. 2019
611612-1,Epilobium anagallidifolium Lam.,36,n,NA,NA
611683-1,Epilobium brachycarpum C.Presl,NA,NA,NA,NA
611692-1,Epilobium brunnescens (Cockayne) P.H.Raven & Engelhorn,36,n,NA,NA
