kew_id,taxon_name,cited_name,sporophytic_chromosome_number,notes,unambiguous_match,number_identical_observations,,,,,
86047-1,Arum italicum Mill.,Arum italicum Mill.,,c.84,y,1,,,,,
86047-1,Arum italicum Mill.,Arum neglectum (F.Towns.) Ridl.,83,,n,1,,,,,
86047-1,Arum italicum Mill.,Arum neglectum (F.Towns.) Ridl.,84,,n,4,,,,,
86067-1,Arum maculatum L.,Arum maculatum L.,56,,y,6,,,,,
86067-1,Arum maculatum L.,Arum maculatum L.,84,,y,2,,,,,
531229-1,Asparagus officinalis L.,Asparagus officinalis L.,20,,y,1,,,,,
531263-1,Asparagus prostratus Dumort.,Asparagus prostratus Dumort.,40,,y,5,,,,,
531263-1,Asparagus prostratus Dumort.,Asparagus prostratus Dumort.,80,,y,1,,,,,
743955-1,Asperula cynanchica L.,Asperula cynanchica L.,40,,y,1,,,,,
17038650-1,Asplenium adiantum-nigrum L.,Asplenium adiantum-nigrum L.,,4x,y,1,,,,,
17038650-1,Asplenium adiantum-nigrum L.,Asplenium adiantum-nigrum L.,144,,y,4,,,,,
17038650-1,Asplenium adiantum-nigrum L.,Asplenium adiantum-nigrum subsp. adiantum-nigrum ,144,,n,1,,,,,
17038650-1,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",,4x,n,3,,,,,
17038650-1,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",,c.140,n,1,,,,,
17038650-1,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",144,,n,4,,,,,
17040860-1,Asplenium ceterach L.,Ceterach officinarum Willd.,144,,n,2,,,,,
17046950-1,Asplenium marinum L.,Asplenium marinum L.,72,,y,5,,,,,
17304140-1,Asplenium obovatum Viv.,Asplenium billotii F.W.Schultz,144,,n,1,,,,,
17304140-1,Asplenium obovatum Viv.,"Asplenium lanceolatum Huds., non Forssk.",144,,n,1,,,,,
17048600-1,Asplenium onopteris L.,Asplenium onopteris L.,72,,y,1,,,,,
311563-2,Asplenium ruta-muraria L.,Asplenium ruta-muraria L.,144,,y,1,,,,,
30216020-2,Asplenium scolopendrium L.,Asplenium scolopendrium L.,72,,y,1,,,,,
30216020-2,Asplenium scolopendrium L.,Phyllitis scolopendrium (L.) Newman,,c.72,n,1,,,,,
30216020-2,Asplenium scolopendrium L.,Phyllitis scolopendrium (L.) Newman,72,,n,2,,,,,
30216020-2,Asplenium scolopendrium L.,Scolopendrium vulgare Sm.,72,,n,2,,,,,
304469-2,Asplenium septentrionale (L.) Hoffm.,Asplenium septentrionale (L.) Hoffm.,144,,y,1,,,,,
310197-2,Asplenium trichomanes L.,Asplenium trichomanes (diploid) sensu Manton,72,,n,3,,,,,
310197-2,Asplenium trichomanes L.,Asplenium trichomanes (tetraploid) sensu Manton,144,,n,3,,,,,
310197-2,Asplenium trichomanes L.,Asplenium trichomanes L.,108,,y,1,,,,,
310197-2,Asplenium trichomanes L.,Asplenium trichomanes subsp. quadrivalens D.E.Mey.,144,,n,2,,,,,
310197-2,Asplenium trichomanes L.,Asplenium trichomanes subsp. trichomanes ,72,,n,1,,,,,
17053570-1,Asplenium viride Huds.,Asplenium viride Huds.,72,,y,2,,,,,
477044-1,Astragalus danicus Retz.,Astragalus danicus Retz.,16,,y,1,,,,,
30045965-2,Athyrium distentifolium Tausch ex Opiz,"Athyrium alpestre (Hoppe) Rylands ex T.Moore, non Clairv.",80,,n,1,,,,,
30045965-2,Athyrium distentifolium Tausch ex Opiz,Athyrium flexile (Newman) Druce,80,,n,1,,,,,
30055316-2,Athyrium filix-femina (L.) Roth,Athyrium filix-femina (L.) Roth,80,,y,5,,,,,
26334-2,Atriplex glabriuscula Edmondston,Atriplex glabriuscula Edmondston,18,,y,2,,,,,
