taxon_name,taxon_name_Stace,authors_Stace,Full name,pg_2C,pg_1C,Mbp_2C,Mbp_1C,PublishedPloidyLevel,PublishedChromosomeNumber,Locality,from GB material,DB
Cynodon dactylon (L.) Pers.,Cynodon dactylon,(L.) Pers.,Cynodon dactylon,2.29,1.145,2239.62,1119.81,2,36,Nijmegen,n,"Zonneveld, 2019"
Equisetum ramosissimum Desf.,Equisetum ramosissimum,Desf.,Equisetum ramosissimum,57.3,28.65,56039.40,28019.70,4,216,Nijmegen,n,"Zonneveld, 2019"
Erigeron sumatrensis Retz.,Erigeron sumatrensis,Retz.,Erigeron sumatrensis,4.74,2.37,4635.72,2317.86,24,54,Nijmegen,n,"Zonneveld, 2019"
Erucastrum gallicum (Willd.) O.E. Schulz,Erucastrum gallicum,(Willd.) O.E. Schulz,Erucastrum gallicum,2.31,1.155,2259.18,1129.59,1,30,Nijmegen,n,"Zonneveld, 2019"
Hirschfeldia incana (L.) Lagr.-Foss.,Hirschfeldia incana,(L.) Lagr.-Foss.,Hirschfeldia incana,0.99,0.495,968.22,484.11,3,14,Nijmegen,n,"Zonneveld, 2019"
Onopordum acanthium L.,Onopordum acanthium,L.,Onopordum acanthium,2.69,1.345,2630.82,1315.41,2,34,Nijmegen,n,"Zonneveld, 2019"
Papaver atlanticum (Ball) Coss.,Papaver atlanticum,(Ball) Coss.,Papaver atlanticum,2.36,1.18,2308.08,1154.04,2,14,Nijmegen,n,"Zonneveld, 2019"
Poa compressa L.,Poa compressa,L.,Poa compressa,5.61,2.805,5486.58,2743.29,2,42,Nijmegen,n,"Zonneveld, 2019"
Poa humilis Ehrh. ex Hoffm.,Poa humilis,Ehrh. ex Hoffm.,Poa humilis,10.9,5.45,10660.20,5330.10,3,54-109,Nijmegen,n,"Zonneveld, 2019"
Prunus mahaleb L.,Prunus mahaleb,L.,Prunus mahaleb,0.68,0.34,665.04,332.52,3,16,Nijmegen,n,"Zonneveld, 2019"
Rorippa austriaca (Crantz) Besser,Rorippa austriaca,(Crantz) Besser,Rorippa austriaca,0.44,0.22,430.32,215.16,1,16,Nijmegen,n,"Zonneveld, 2019"
Rumex salicifolius T. Lestib.,Rumex salicifolius,T. Lestib.,Rumex salicifolius,1.38,0.69,1349.64,674.82,3,20,Nijmegen,n,"Zonneveld, 2019"
Sisymbrium strictissimum L.,Sisymbrium strictissimum,L.,Sisymbrium strictissimum,1.59,0.795,1555.02,777.51,2,"14, 28",Nijmegen,n,"Zonneveld, 2019"
Sorbaria sorbifolia (L.) A. Braun,Sorbaria sorbifolia,(L.) A. Braun,Sorbaria sorbifolia,1.05,0.525,1026.90,513.45,1,36,Nijmegen,n,"Zonneveld, 2019"
Sorghum bicolor (L.) Moench,Sorghum bicolor,(L.) Moench,Sorghum bicolor,1.8,0.9,1760.40,880.20,7,20,Nijmegen,n,"Zonneveld, 2019"
Veronica cymbalaria Bodard,Veronica cymbalaria,Bodard,Veronica cymbalaria,2.74,1.37,2679.72,1339.86,2,"(18), 36, 54",Nijmegen,n,"Zonneveld, 2019"
Alchemilla glabra Neygenf.,Alchemilla glabra,Neygenf.,Alchemilla glabra,3.79,1.895,3706.62,1853.31,1,,Nispen,n,"Zonneveld, 2019"
Anthyllis vulneraria L.,Anthyllis vulneraria,L.,Anthyllis vulneraria,0.9,0.45,880.20,440.10,4,12,Noordwijk,n,"Zonneveld, 2019"
Eryngium maritimum L.,Eryngium maritimum,L.,Eryngium maritimum,2.59,1.295,2533.02,1266.51,2,16,Noordwijk,n,"Zonneveld, 2019"
Euonymus europaeus L.,Euonymus europaeus,L.,Euonymus europaeus,1.99,0.995,1946.22,973.11,4,32,Noordwijk,n,"Zonneveld, 2019"
Fallopia baldschuanica (Regel) Holub,Fallopia baldschuanica,(Regel) Holub,Fallopia baldschuanica,3.27,1.635,3198.06,1599.03,6,20,Noordwijk,n,"Zonneveld, 2019"
Cerastium semidecandrum L.,Cerastium semidecandrum,L.,Cerastium semidecandrum,1.32,0.66,1290.96,645.48,4,(18) 36,Noordwijk de Grent,n,"Zonneveld, 2019"
Hippophae rhamnoides L.,Hippophae rhamnoides,L.,Hippophae rhamnoides,2.41,1.205,2356.98,1178.49,1,24,Noordwijk dunes,n,"Zonneveld, 2019"
Lagurus ovatus L.,Lagurus ovatus,L.,Lagurus ovatus,6.68,3.34,6533.04,3266.52,2,14,Noordwijk dunes,n,"Zonneveld, 2019"
Rubus caesius L.,Rubus caesius,L.,Rubus caesius,1.47,0.735,1437.66,718.83,4,"28,35",Noordwijk dunes,n,"Zonneveld, 2019"
Salix repens L.,Salix repens,L.,Salix repens,0.87,0.435,850.86,425.43,2,38,Noordwijk dunes,n,"Zonneveld, 2019"
Euphorbia paralias L.,Euphorbia paralias,L.,Euphorbia paralias,1.59,0.795,1555.02,777.51,1,16,Noordwijk N Boulevard,n,"Zonneveld, 2019"
Digitaria sanguinalis (L.) Scop.,Digitaria sanguinalis,(L.) Scop.,Digitaria sanguinalis,2.46,1.23,2405.88,1202.94,6,,Noordwijk Wantveld,n,"Zonneveld, 2019"
Ambrosia psilostachya DC.,Ambrosia psilostachya,DC.,Ambrosia psilostachya,5.95,2.975,5819.10,2909.55,3,"72, 108, 144",Noordwijk Z Boulevard,n,"Zonneveld, 2019"
Leymus arenarius (L.) Hochst.,Leymus arenarius,(L.) Hochst.,Leymus arenarius,40.3,20.15,39413.40,19706.70,2,56,Noordwijk Z Boulevard,n,"Zonneveld, 2019"
Atriplex patula L.,Atriplex patula,L.,Atriplex patula,4.03,2.015,3941.34,1970.67,6,36,Noordwijk zuid,n,"Zonneveld, 2019"
Galium verum L.,Galium verum,L.,Galium verum,3.93,1.965,3843.54,1921.77,9,44,Noordwijk/Katwijk dunes,n,"Zonneveld, 2019"
Rosa rugosa Thunb.,Rosa rugosa,Thunb.,Rosa rugosa,1.08,0.54,1056.24,528.12,4,"14, 28",Noordwljk aan zee,n,"Zonneveld, 2019"
Pseudosasa japonica (Siebold & Zucc. ex Steud.) Makino ex Nakai,Pseudosasa japonica,(Siebold & Zucc. ex Steud.) Makino ex Nakai,Pseudosasa japonica,6.56,3.28,6415.68,3207.84,2,48,Noordwljk hort.,n,"Zonneveld, 2019"
Campanula portenschlagiana Schult.,Campanula portenschlagiana,Schult.,Campanula portenschlagiana,2.87,1.435,2806.86,1403.43,5,34,Noorwegen,n,"Zonneveld, 2019"
Campanula rotundifolia L.,Campanula rotundifolia,L.,Campanula rotundifolia,4.47,2.235,4371.66,2185.83,1,"68, 102",Noorwijkerhout,n,"Zonneveld, 2019"
Dianthus deltoides L.,Dianthus deltoides,L.,Dianthus deltoides,0.93,0.465,909.54,454.77,1,30,NRV,n,"Zonneveld, 2019"
Digitalis lutea L.,Digitalis lutea,L.,Digitalis lutea,5.03,2.515,4919.34,2459.67,2,16-112,NRV,n,"Zonneveld, 2019"
Dipsacus fullonum L.,Dipsacus fullonum,L.,Dipsacus fullonum,6.65,3.325,6503.70,3251.85,3,(16) 18,NRV,n,"Zonneveld, 2019"
Drosera anglica Huds.,Drosera anglica,Huds.,Drosera anglica,6.15,3.075,6014.70,3007.35,1,40,NRV,n,"Zonneveld, 2019"
Iberis amara L.,Iberis amara,L.,Iberis amara,1.8,0.9,1760.40,880.20,3,14,NRV,n,"Zonneveld, 2019"
Lappula squarrosa (Retz.) Dumort.,Lappula squarrosa,(Retz.) Dumort.,Lappula squarrosa,1.59,0.795,1555.02,777.51,2,48 (54),NRV,n,"Zonneveld, 2019"
Linnaea borealis L.,Linnaea borealis,L.,Linnaea borealis,1.83,0.915,1789.74,894.87,1,32,NRV,n,"Zonneveld, 2019"
Primula elatior (L.) Hill,Primula elatior,(L.) Hill,Primula elatior,1.13,0.565,1105.14,552.57,5,22,NRV,n,"Zonneveld, 2019"
Sempervivum arachnoideum L.,Sempervivum arachnoideum,L.,Sempervivum arachnoideum,0.65,0.325,635.70,317.85,1,"32, 48, 64",NRV,n,"Zonneveld, 2019"
Silene gallica L.,Silene gallica,L.,Silene gallica,2.15,1.075,2102.70,1051.35,4,24,NRV,n,"Zonneveld, 2019"
Pyrola rotundifolia L.,Pyrola rotundifolia,L.,Pyrola rotundifolia,7.12,3.56,6963.36,3481.68,1,46,NRV Trade Fair,n,"Zonneveld, 2019"
Sisyrinchium bermudiana L.,Sisyrinchium bermudiana,L.,Sisyrinchium bermudiana,2.21,1.105,2161.38,1080.69,4,"64, 88, 96",NRV Trade Fair,n,"Zonneveld, 2019"
Pulmonaria rubra Schott,Pulmonaria rubra,Schott,Pulmonaria rubra,2.45,1.225,2396.10,1198.05,1,14,NVV Trade Fair,n,"Zonneveld, 2019"
Trifolium micranthum Viv.,Trifolium micranthum,Viv.,Trifolium micranthum,0.77,0.385,753.06,376.53,1,16,Oeffelt,n,"Zonneveld, 2019"
Anemone ranunculoides L.,Anemone ranunculoides,L.,Anemone ranunculoides,35.4,17.7,34621.20,17310.60,7,32,Oegstgeest O. Poelgeest,n,"Zonneveld, 2019"
Cyperus eragrostis Lam.,Cyperus eragrostis,Lam.,Cyperus eragrostis,1.45,0.725,1418.10,709.05,4,42,Oegstgeest Science park,n,"Zonneveld, 2019"
Lamium hybridum Vill.,Lamium hybridum,Vill.,Lamium hybridum,2.6,1.3,2542.80,1271.40,1,36,Oijen a.d. Maas,n,"Zonneveld, 2019"
Setaria verticillata (L.) P. Beauv.,Setaria verticillata,(L.) P. Beauv.,Setaria verticillata,1.92,0.96,1877.76,938.88,2,"18, 36, 54",Oijen a.d. Maas,n,"Zonneveld, 2019"
Luronium natans (L.) Raf.,Luronium natans,(L.) Raf.,Luronium natans,44,22,43032.00,21516.00,3,42,Oisterwijk,n,"Zonneveld, 2019"
Rorippa amphibia (L.) Besser,Rorippa amphibia,(L.) Besser,Rorippa amphibia,1.14,0.57,1114.92,557.46,3,"16, 32",Oisterwijk,n,"Zonneveld, 2019"
Oenanthe lachenalii C.C. Gmel.,Oenanthe lachenalii,C.C. Gmel.,Oenanthe lachenalii,1.46,0.73,1427.88,713.94,4,22,Oisterwijk?,n,"Zonneveld, 2019"
Barbarea stricta Andrz.,Barbarea stricta,Andrz.,Barbarea stricta,0.56,0.28,547.68,273.84,1,"14, 16, 18",Ommen koeland,n,"Zonneveld, 2019"
Groenlandia densa (L.) Fourr.,Groenlandia densa,(L.) Fourr.,Groenlandia densa,0.51,0.255,498.78,249.39,1,30,Ooijpolder,n,"Zonneveld, 2019"
Potamogeton trichoides Cham. & Schltdl.,Potamogeton trichoides,Cham. & Schltdl.,Potamogeton trichoides,1,0.5,978.00,489.00,1,26,Ooijpolder,n,"Zonneveld, 2019"
Ceratocapnos claviculata (L.) Lidén,Ceratocapnos claviculata,(L.) Lidén,Ceratocapnos claviculata,0.66,0.33,645.48,322.74,2,32,Oosterbeek,n,"Zonneveld, 2019"
Xanthium strumarium L.,Xanthium strumarium,L.,Xanthium strumarium,4.96,2.48,4850.88,2425.44,4,36,Oosterbeek Rijn,n,"Zonneveld, 2019"
Rosa virginiana Mill. (non Herrm.),Rosa virginiana,Mill. (non Herrm.),Rosa virginiana,1.99,0.995,1946.22,973.11,1,28,Oostvoorne Olaertsdunes,n,"Zonneveld, 2019"
Elatine hexandra (Lapierre) DC.,Elatine hexandra,(Lapierre) DC.,Elatine hexandra,1.42,0.71,1388.76,694.38,1,72,Ossendrecht Gr. Meren,n,"Zonneveld, 2019"
Littorella uniflora (L.) Asch.,Littorella uniflora,(L.) Asch.,Littorella uniflora,12.3,6.15,12029.40,6014.70,2,24,Ossendrecht Gr. Meren,n,"Zonneveld, 2019"
Illecebrum verticillatum L.,Illecebrum verticillatum,L.,Illecebrum verticillatum,0.92,0.46,899.76,449.88,1,10,Ossendrecht Gr.Meren,n,"Zonneveld, 2019"
Apium graveolens L.,Apium graveolens,L.,Apium graveolens,7.28,3.64,7119.84,3559.92,9,,Pale leaf celery,n,"Zonneveld, 2019"
Centaurea calcitrapa L.,Centaurea calcitrapa,L.,Centaurea calcitrapa,2.13,1.065,2083.14,1041.57,2,20,Pietersberg,n,"Zonneveld, 2019"
Abies alba Mill.,Abies alba,Mill.,Abies alba,35.5,17.75,34719.00,17359.50,2,24,Pinetum Blijdenstein,n,"Zonneveld, 2019"
Abies grandis (Douglas ex D. Don) Lindl.,Abies grandis,(Douglas ex D. Don) Lindl.,Abies grandis,35.1,17.55,34327.80,17163.90,2,24,Pinetum Blijdenstein,n,"Zonneveld, 2019"
Berberis aggregata C.K. Schneid.,Berberis aggregata,C.K. Schneid.,Berberis aggregata,2.94,1.47,2875.32,1437.66,1,28,pink berry,n,"Zonneveld, 2019"
Zostera marina L.,Zostera marina,L.,Zostera marina,1.37,0.685,1339.86,669.93,3,12,Plaat van Oudetonge,n,"Zonneveld, 2019"
Spiraea douglasii Hook.,Spiraea douglasii,Hook.,Spiraea douglasii,1.09,0.545,1066.02,533.01,2,36,Punthorst Smeulenweg,n,"Zonneveld, 2019"
Raphanus sativus L.,Raphanus sativus,L.,Raphanus sativus,1.22,0.61,1193.16,596.58,6,18,radice white rootlet,n,"Zonneveld, 2019"
Crepis foetida L.,Crepis foetida,L.,Crepis foetida,4.57,2.285,4469.46,2234.73,1,"8, 10",R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Crepis setosa Haller f.,Crepis setosa,Haller f.,Crepis setosa,3.8,1.9,3716.40,1858.20,1,8,R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Euphorbia platyphyllos L.,Euphorbia platyphyllos,L.,Euphorbia platyphyllos,1.58,0.79,1545.24,772.62,1,30,R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Lactuca tatarica (L.) C.A. Mey.,Lactuca tatarica,(L.) C.A. Mey.,Lactuca tatarica,8.6,4.3,8410.80,4205.40,1,"16, 18",R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Lathyrus hirsutus L.,Lathyrus hirsutus,L.,Lathyrus hirsutus,12,6,11736.00,5868.00,1,14,R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Linaria repens (L.) Mill.,Linaria repens,(L.) Mill.,Linaria repens,1.77,0.885,1731.06,865.53,1,12,R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Mentha suaveolens Ehrh.,Mentha suaveolens,Ehrh.,Mentha suaveolens,1.07,0.535,1046.46,523.23,3,24,R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Nepeta cataria L.,Nepeta cataria,L.,Nepeta cataria,1.18,0.59,1154.04,577.02,4,"(18) 34, 36",R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Rumex patientia L.,Rumex patientia,L.,Rumex patientia,4.76,2.38,4655.28,2327.64,2,(40) 60,R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Sisyrinchium californicum (Ker Gawl.) W.T. Aiton,Sisyrinchium californicum,(Ker Gawl.) W.T. Aiton,Sisyrinchium californicum,9.8,4.9,9584.40,4792.20,4,32,R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Stachys byzantina K. Koch,Stachys byzantina,K. Koch,Stachys byzantina,1.78,0.89,1740.84,870.42,1,30,R'dam Afrikaanderplein,n,"Zonneveld, 2019"
Falcaria vulgaris Bernh.,Falcaria vulgaris,Bernh.,Falcaria vulgaris,2.9,1.45,2836.20,1418.10,1,22,R'dam BG Afrikaanderpl.,n,"Zonneveld, 2019"
Parentucellia viscosa (L.) Caruel,Parentucellia viscosa,(L.) Caruel,Parentucellia viscosa,2.85,1.425,2787.30,1393.65,2,48,R'dam Europoort Dinteloort,n,"Zonneveld, 2019"
Anisantha madritensis (L.) Nevski.,Anisantha madritensis,(L.) Nevski.,Anisantha madritensis,9.91,4.955,9691.98,4845.99,1,28,R'dam KI. Kosterstr.,n,"Zonneveld, 2019"
Rubus odoratus L.,Rubus odoratus,L.,Rubus odoratus,0.74,0.37,723.72,361.86,1,14,R'dam Museum park,n,"Zonneveld, 2019"
Salsola tragus L.,Salsola tragus,L.,Salsola tragus,3.02,1.51,2953.56,1476.78,4,36,R'dam Pistoolhaven,n,"Zonneveld, 2019"
Populus tremula L.,Populus tremula,L.,Populus tremula,0.96,0.48,938.88,469.44,8,38,R'dam Trom. ex Wonbirt,n,"Zonneveld, 2019"
Alnus cordata (Loisel.) Duby,Alnus cordata,(Loisel.) Duby,Alnus cordata,1.13,0.565,1105.14,552.57,3,"28, 42",R'dam Trompenburg,n,"Zonneveld, 2019"
Alnus incana (L.) Moench,Alnus incana,(L.) Moench,Alnus incana,1.24,0.62,1212.72,606.36,1,28,R'dam Trompenburg,n,"Zonneveld, 2019"
Aralia elata (Miq.) Seem.,Aralia elata,(Miq.) Seem.,Aralia elata,2.57,1.285,2513.46,1256.73,2,24,R'dam Trompenburg,n,"Zonneveld, 2019"
Cotoneaster horizontalis Decne.,Cotoneaster horizontalis,Decne.,Cotoneaster horizontalis,1.39,0.695,1359.42,679.71,1,68,R'dam Trompenburg,n,"Zonneveld, 2019"
Fagus orientalis Lipsky,Fagus orientalis,Lipsky,Fagus orientalis,1.13,0.565,1105.14,552.57,2,24,R'dam Trompenburg,n,"Zonneveld, 2019"
Leycesteria formosa Wall.,Leycesteria formosa,Wall.,Leycesteria formosa,1.75,0.875,1711.50,855.75,1,18,R'dam Trompenburg,n,"Zonneveld, 2019"
Quercus robur L.,Quercus robur,L.,Quercus robur,2.01,1.005,1965.78,982.89,2,24,R'dam Trompenburg,n,"Zonneveld, 2019"
Sorbus domestica L.,Sorbus domestica,L.,Sorbus domestica,1.65,0.825,1613.70,806.85,1,34,R'dam Trompenburg,n,"Zonneveld, 2019"
Sorbus torminalis (L.) Crantz,Sorbus torminalis,(L.) Crantz,Sorbus torminalis,1.74,0.87,1701.72,850.86,1,34,R'dam Trompenburg,n,"Zonneveld, 2019"
Tilia cordata Mill.,Tilia cordata,Mill.,Tilia cordata,2.14,1.07,2092.92,1046.46,2,"82, 86",R'dam Trompenburg,n,"Zonneveld, 2019"
Ulmus minor Mill.,Ulmus minor,Mill.,Ulmus minor,3.93,1.965,3843.54,1921.77,1,28,R'dam Trompenburg,n,"Zonneveld, 2019"
Bromus arvensis L.,Bromus arvensis,L.,Bromus arvensis,11.5,5.75,11247.00,5623.50,1,14,R'dam Veerlaan,n,"Zonneveld, 2019"
Brassica nigra (L.) W.D.J. Koch,Brassica nigra,(L.) W.D.J. Koch,Brassica nigra,1.31,0.655,1281.18,640.59,2,16,Reimerswaal Bath,n,"Zonneveld, 2019"
Heracleum mantegazzianum Sommier & Levier,Heracleum mantegazzianum,Sommier & Levier,Heracleum mantegazzianum,3.65,1.825,3569.70,1784.85,2,22,Reuze bereklauw,n,"Zonneveld, 2019"
Verbascum speciosum Schrad.,Verbascum speciosum,Schrad.,Verbascum speciosum,1.12,0.56,1095.36,547.68,1,30,Rilland Zeedijk,n,"Zonneveld, 2019"
Hydrocotyle ranunculoides L. f.,Hydrocotyle ranunculoides,L. f.,Hydrocotyle ranunculoides,1.62,0.81,1584.36,792.18,2,48,Roosendaal Molenbeek,n,"Zonneveld, 2019"
Polygala serpyllifolia Hosé,Polygala serpyllifolia,Hosé,Polygala serpyllifolia,0.83,0.415,811.74,405.87,1,34,Roosenven,n,"Zonneveld, 2019"
Bidens frondosa L.,Bidens frondosa,L.,Bidens frondosa,3.45,1.725,3374.10,1687.05,3,48,Rotterdam,n,"Zonneveld, 2019"
Calendula arvensis L.,Calendula arvensis,L.,Calendula arvensis,5.35,2.675,5232.30,2616.15,1,"36, 44",s GRavenIand,n,"Zonneveld, 2019"
Persicaria minor (Huds.) Opiz,Persicaria minor,(Huds.) Opiz,Persicaria minor,3.21,1.605,3139.38,1569.69,2,40,s Gravenland,n,"Zonneveld, 2019"
Rosa corymbifera Borkh.,Rosa corymbifera,Borkh.,Rosa corymbifera,3,1.5,2934.00,1467.00,4,35,s Gravenlande Gooilust,n,"Zonneveld, 2019"
Rosa micrantha Borrer ex. Sm.,Rosa micrantha,Borrer ex. Sm.,Rosa micrantha,2.82,1.41,2757.96,1378.98,1,"35,42",s Gravenlande Gooilust,n,"Zonneveld, 2019"
Rosa sherardii Davies,Rosa sherardii,Davies,Rosa sherardii,2.72,1.36,2660.16,1330.08,1,"28,35,42",s Gravenlande Gooilust,n,"Zonneveld, 2019"
Rosa tomentosa Sm.,Rosa tomentosa,Sm.,Rosa tomentosa,2.81,1.405,2748.18,1374.09,1,35,s Gravenlande Gooilust,n,"Zonneveld, 2019"
Rosa villosa L.,Rosa villosa,L.,Rosa villosa,2.17,1.085,2122.26,1061.13,2,"28,56",s Gravenlande Gooilust,n,"Zonneveld, 2019"
Geranium nodosum L.,Geranium nodosum,L.,Geranium nodosum,3.53,1.765,3452.34,1726.17,1,28,S. Europa,n,"Zonneveld, 2019"
Brassica juncea (L.) Czern.,Brassica juncea,(L.) Czern.,Brassica juncea,2.3,1.15,2249.40,1124.70,2,36,Sarepta mustard,n,"Zonneveld, 2019"
Cyperus fuscus L.,Cyperus fuscus,L.,Cyperus fuscus,0.49,0.245,479.22,239.61,2,36,Sassenplaat SBB,n,"Zonneveld, 2019"
Limosella aquatica L.,Limosella aquatica,L.,Limosella aquatica,1.54,0.77,1506.12,753.06,2,40,Sassenplaat SBB,n,"Zonneveld, 2019"
Orchis anthropophora (L.) All.,Orchis anthropophora,(L.) All.,Orchis anthropophora,29.6,14.8,28948.80,14474.40,1,42,Savelsbos,n,"Zonneveld, 2019"
Cladium mariscus (L.) Pohl,Cladium mariscus,(L.) Pohl,Cladium mariscus,0.54,0.27,528.12,264.06,1,,SBB Halsterslaag,n,"Zonneveld, 2019"
Salix daphnoides Vill.,Salix daphnoides,Vill.,Salix daphnoides,0.89,0.445,870.42,435.21,1,38,Schermer,n,"Zonneveld, 2019"
Geranium columbinum L.,Geranium columbinum,L.,Geranium columbinum,1.57,0.785,1535.46,767.73,1,18,Schin op Geul,n,"Zonneveld, 2019"
Veronica longifolia L.,Veronica longifolia,L.,Veronica longifolia,3.72,1.86,3638.16,1819.08,1,"34, 68",Schneeriesin',n,"Zonneveld, 2019"
Scorzonera hispanica L.,Scorzonera hispanica,L.,Scorzonera hispanica,4.96,2.48,4850.88,2425.44,1,14(28),Schorseneer,n,"Zonneveld, 2019"
Potentilla norvegica L.,Potentilla norvegica,L.,Potentilla norvegica,1.68,0.84,1643.04,821.52,1,"42, 56, 70",seedling,n,"Zonneveld, 2019"
Hordeum marinum Huds.,Hordeum marinum,Huds.,Hordeum marinum,9.01,4.505,8811.78,4405.89,1,14,Serooskerke Prunje,n,"Zonneveld, 2019"
Lysimachia nemorum L.,Lysimachia nemorum,L.,Lysimachia nemorum,3.41,1.705,3334.98,1667.49,1,"16, 18",sGravenland,n,"Zonneveld, 2019"
Lysimachia nummularia L.,Lysimachia nummularia,L.,Lysimachia nummularia,4.77,2.385,4665.06,2332.53,2,(30-36) 43,sGravenland,n,"Zonneveld, 2019"
Arctium lappa L.,Arctium lappa,L.,Arctium lappa,3.97,1.985,3882.66,1941.33,4,36,Sittard,n,"Zonneveld, 2019"
Berula erecta (Huds.) Coville,Berula erecta,(Huds.) Coville,Berula erecta,1.13,0.565,1105.14,552.57,3,"18, 20",Sittard,n,"Zonneveld, 2019"
Fraxinus ornus L.,Fraxinus ornus,L.,Fraxinus ornus,2.01,1.005,1965.78,982.89,1,46,Sittard,n,"Zonneveld, 2019"
Galium saxatile L.,Galium saxatile,L.,Galium saxatile,3,1.5,2934.00,1467.00,1,44,Sittard,n,"Zonneveld, 2019"
Juglans nigra L.,Juglans nigra,L.,Juglans nigra,1.27,0.635,1242.06,621.03,3,32,Sittard,n,"Zonneveld, 2019"
Panicum capillare L.,Panicum capillare,L.,Panicum capillare,0.96,0.48,938.88,469.44,2,18,Sittard,n,"Zonneveld, 2019"
Populus balsamifera L.,Populus balsamifera,L.,Populus balsamifera,1.06,0.53,1036.68,518.34,1,"38, 76",Sittard,n,"Zonneveld, 2019"
Populus trichocarpa Torr. & A. Gray ex Hook.,Populus trichocarpa,Torr. & A. Gray ex Hook.,Populus trichocarpa,1,0.5,978.00,489.00,1,38,Sittard,n,"Zonneveld, 2019"
Tilia tomentosa Moench,Tilia tomentosa,Moench,Tilia tomentosa,2.16,1.08,2112.48,1056.24,2,82,Sittard,n,"Zonneveld, 2019"
Ulmus laevis Pall.,Ulmus laevis,Pall.,Ulmus laevis,3.18,1.59,3110.04,1555.02,1,28,Sittard,n,"Zonneveld, 2019"
Equisetum hyemale L.,Equisetum hyemale,L.,Equisetum hyemale,53.2,26.6,52029.60,26014.80,7,216,Slangenburg Doetinchem,n,"Zonneveld, 2019"
Stellaria neglecta Weihe,Stellaria neglecta,Weihe,Stellaria neglecta,2.67,1.335,2611.26,1305.63,3,22,Slangenburg Doetinchem,n,"Zonneveld, 2019"
Rosa elliptica Tausch,Rosa elliptica,Tausch,Rosa elliptica,2.81,1.405,2748.18,1374.09,2,"35, 42",Slenaken,n,"Zonneveld, 2019"
Gaudinia fragilis (L.) P. Beauv.,Gaudinia fragilis,(L.) P. Beauv.,Gaudinia fragilis,3.44,1.72,3364.32,1682.16,1,14,Sliedrechter biesbosch,n,"Zonneveld, 2019"
Salix purpurea L.,Salix purpurea,L.,Salix purpurea,0.95,0.475,929.10,464.55,2,38,Sliedrechter Biesbosch,n,"Zonneveld, 2019"
Vicia bithynica (L.) L.,Vicia bithynica,(L.) L.,Vicia bithynica,7.31,3.655,7149.18,3574.59,1,14,Sluis Oostburg,n,"Zonneveld, 2019"
Carex divisa Huds.,Carex divisa,Huds.,Carex divisa,0.84,0.42,821.52,410.76,1,60,Sluis Retranchement,n,"Zonneveld, 2019"
Trifolium subterraneum L.,Trifolium subterraneum,L.,Trifolium subterraneum,1.31,0.655,1281.18,640.59,1,16,Sluis retranchement,n,"Zonneveld, 2019"
Medicago lupulina L.,Medicago lupulina,L.,Medicago lupulina,1.4,0.7,1369.20,684.60,2,16,square stem,n,"Zonneveld, 2019"
Ruppia maritima L.,Ruppia maritima,L.,Ruppia maritima,2.82,1.41,2757.96,1378.98,2,20,St Maartenszee,n,"Zonneveld, 2019"
Sparganium angustifolium Michx.,Sparganium angustifolium,Michx.,Sparganium angustifolium,1.35,0.675,1320.30,660.15,5,30,St Oedenrode Vr.bos,n,"Zonneveld, 2019"
Panicum schinzii Hack. ex Schinz,Panicum schinzii,Hack. ex Schinz,Panicum schinzii,0.99,0.495,968.22,484.11,1,18,Staphorst boswachterij,n,"Zonneveld, 2019"
Bidens pilosa L.,Bidens pilosa,L.,Bidens pilosa,6.27,3.135,6132.06,3066.03,6,(24-48) 72,Stevensbeek,n,"Zonneveld, 2019"
Nymphoides peltata Kuntze,Nymphoides peltata,Kuntze,Nymphoides peltata,1.81,0.905,1770.18,885.09,3,54,Stompwijk,n,"Zonneveld, 2019"
Asplenium viride Huds.,Asplenium viride,Huds.,Asplenium viride,8.81,4.405,8616.18,4308.09,3,72,Suisse Aarer Slucht,n,"Zonneveld, 2019"
Saxifraga tridactylites L.,Saxifraga tridactylites,L.,Saxifraga tridactylites,1.34,0.67,1310.52,655.26,7,22,Suisse Arau,n,"Zonneveld, 2019"
Euphorbia dulcis L.,Euphorbia dulcis,L.,Euphorbia dulcis,4.71,2.355,4606.38,2303.19,1,"12, 18, 24",Suisse O. Erlingsbach,n,"Zonneveld, 2019"
Melittis melissophyllum L.,Melittis melissophyllum,L.,Melittis melissophyllum,1.07,0.535,1046.46,523.23,1,30,Suisse O. Erlingsbach,n,"Zonneveld, 2019"
Cephalanthera longifolia (L.) Fritsch,Cephalanthera longifolia,(L.) Fritsch,Cephalanthera longifolia,35.6,17.8,34816.80,17408.40,1,"32, 34",Suisse Ober Erlingsbach,n,"Zonneveld, 2019"
