kew_id,taxon_name,taxon_name_binom,authors,MSB_number,standard_species,standard_2C_pg,buffer,buffer_composition,buffer_origin,GS_2C_pg,GS_1C_pg,GS_2C_Mbp,GS_1C_Mbp,cv_sample,cv_standard,matched_by_synonym,cited_name
30079143-2,Blechnum spicant (L.) Roth,Blechnum spicant,(L.) Roth,,Pisum sativum L. “Ctirad”,9.09,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",15.11,7.56,14780.52,7390.26,3.343333333,2.363333333,,
1144343-2,Blysmus compressus (L.) Panz. ex Link,Blysmus compressus,(L.) Panz. ex Link,668125,Solanum lycopersicum L. “Stupiké polní rané”,2,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",4.03,2.01,3936.57,1968.29,3.283333333,3.286666667,,
113618-1,Borago officinalis L.,Borago officinalis,L.,,Solanum lycopersicum L. “Stupiké polní rané”,2,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",3.27,1.64,3200.62,1600.31,3.75,3.256666667,,
279435-1,Brassica oleracea L.,Brassica oleracea,L.,,Solanum lycopersicum L. “Stupiké polní rané”,2,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",1.44,0.72,1408.84,704.42,3.376666667,4.106666667,,
393294-1,Briza media L.,Briza media,L.,1007501,Petroselinum crispum (Mill.) Nyman ex A.W.Hill “Champion Moss Curled”,4.5,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",6.79,3.39,6640.47,3320.24,2.273333333,2.893333333,,
393294-1,Briza media L.,Briza media,L.,,Pisum sativum L. “Ctirad”,9.09,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",6.71,3.36,6565.61,3282.81,1.69,1.603333333,,
393422-1,Bromopsis erecta (Huds.) Fourr.,Bromopsis erecta,(Huds.) Fourr.,,Pisum sativum L. “Ctirad”,9.09,LB01,Tris 15mM - EDTA 2mM - Spermine 0.5M - KCl - NaCl - Triton X-100 0.1% - beta-Mercaptoethanol,"Doležel, J., Binarová, P. and Lucretti, S. Analysis of nuclear DNA content in plant cells by flow cytometry. Biologia plantarum, 31(2), 113-120 (1989).",21.76,10.88,21281.28,10640.64,3.8,3.83,,
393463-1,Bromopsis ramosa (Huds.) Holub,Bromopsis ramosa,(Huds.) Holub,,Pisum sativum L. “Ctirad”,9.09,LB01,Tris 15mM - EDTA 2mM - Spermine 0.5M - KCl - NaCl - Triton X-100 0.1% - beta-Mercaptoethanol,"Doležel, J., Binarová, P. and Lucretti, S. Analysis of nuclear DNA content in plant cells by flow cytometry. Biologia plantarum, 31(2), 113-120 (1989).",26.48,13.24,25897.44,12948.72,3.51,4.17,,
291584-1,Bryonia dioica Jacq.,Bryonia dioica,Jacq.,,Solanum lycopersicum L. “Stupiké polní rané”,2,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",3.26,1.63,3187.05,1593.52,2.706666667,3.23,,
545734-1,Buddleja davidii Franch.,Buddleja davidii,Franch.,,Petroselinum crispum (Mill.) Nyman ex A.W.Hill “Champion Moss Curled”,4.5,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",3.16,1.58,3089.32,1544.66,2.793333333,2.44,,
